Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-D7-6822-01A-11R-1884-13	0.058308545	0	0	0.125918632	0	0.191916852	0.047464501	0	0.022580232	0	0.064906441	0	0	0.214296171	0.080060894	0.067311594	0.014700294	0	0.000113273	0	0	0.112422569	2.116407133
TCGA-BR-8058-01A-31R-2343-13	0.045217997	0	0.05231952	0.112393432	0	0.254765704	0.052043329	0	0.04857449	0	0	0.032007008	0.008757181	0.042413875	0.11312897	0.142031677	0.016697683	0	0.079649133	0	0	0	1.582546083
TCGA-HU-8238-01A-11R-2343-13	0.091685411	0	0.032685551	0.076120267	0	0.06886945	0	0.002263798	0.124741239	0	0	0.04955822	0	0.154040593	0.059965431	0.096207517	0	0.041916595	0.170373109	0.015724943	0	0.015847877	1.19927897
TCGA-VQ-A8PP-01A-21R-A414-31	0.11248334	0	0.017676881	0.148577467	0	0.146554308	0.101696892	0.06329759	0.070606699	0	0.019652478	0.003584253	0.003706765	0.074459133	0.096908119	0.113834943	0.00251724	0	0.024443893	0	0	0	1.592013066
TCGA-HJ-7597-01A-21R-2203-13	0.028679805	0.00796296	0.021633384	0.374822828	0	0	0.047109045	0.004779476	0.104725825	0	0.011505218	0.071846267	0	0.060411516	0.151413491	0.059390087	0.000140659	0.003399982	0.042758644	0	0	0.009420814	2.134841155
TCGA-VQ-A8P8-01A-11R-A39E-31	0.060866472	0.171564722	0.140327951	0.044730008	0	0.258849293	0	0	0.09509605	0	0	0.020198038	0	0.036016603	0.011670556	0.007587242	0.01017332	0.04443377	0.098485974	0	0	0	0.785542637
TCGA-VQ-A8P5-01A-11R-A39E-31	0.07769608	0	0.079973477	0.123245616	0	0.084989614	0.107060826	0.013069839	0.00298419	0	0.085191234	0	0.007213792	0.139810672	0.12137077	0.103282123	0.009305626	0	0.021025077	0	0	0.023781065	1.06521099
TCGA-IN-A6RJ-01A-21R-A33Y-31	0.003531179	0.029166026	0.067800384	0.089667048	0	0.162660969	0	0.044955626	0.099764707	0	0	0.082624947	0.012322712	0.017206635	0.070274394	0.086376006	0.082572301	0.051697313	0.095682144	0	0	0.003697609	0.922436904
TCGA-IN-A6RO-01A-12R-A33Y-31	0.048021457	0	0.013360005	0.013318304	0	0.315235251	0.120799181	0.001470263	0.030254311	0	0.085216004	0	0.001209983	0.07393711	0.088669542	0.134599981	0.012130036	0.030523869	0.031254703	0	0	0	0.367889993
TCGA-BR-6458-01A-11R-1802-13	0.026539892	0	0.015597004	0.161755134	0	0.132562088	0.036258863	0.04841836	0.064677849	0	0.001640007	0.007039181	0.002874506	0.137370227	0.110830488	0.135925548	0.096852087	0	0.021658765	0	0	0	1.506846113
TCGA-VQ-AA6D-01A-11R-A414-31	0.047659191	0	0	0.020689035	0	0.254101119	0	0.073819159	0.044343992	0	0	0.028591179	0	0.245506212	0.072790342	0.041755314	0	0.031957386	0	0.13878707	0	0	1.797355394
TCGA-D7-6526-01A-11R-1802-13	0.077488133	0	0.028506032	0.026302528	0	0.301331483	0.00046763	0	0.094145856	0	0.06416533	0	0.00116781	0.150252886	0.022010281	0.107566355	0	0.014448852	0	0.047368583	0	0.064778242	0.235148573
TCGA-BR-4279-01A-01R-1131-13	0.028665597	0	0.091993264	0.06324358	0	0.131154955	0.071332183	0	0	0.029665793	0.011891355	0	0.032037026	0.141990392	0.041982885	0.150424481	0.04422171	0	0.035433317	0.04715081	0.008532274	0.070280377	1.611156655
TCGA-BR-A4CR-01A-11R-A24K-31	0.111870912	0	0	0.027897849	0	0.257824513	0	0.000360645	0.082065166	0	0.04056357	0	0	0.121139915	0.012737232	0.153745796	0	0.073569228	0	0.08394187	0.027039358	0.007243946	0.599660271
TCGA-BR-A4PF-01A-11R-A251-31	0.062283851	0	0.018686115	0.056400176	0	0.119597024	0.058149343	0.043911873	0.045468725	0.014982865	0	0.001669314	0	0.125408213	0.107546174	0.241157959	0.001955415	0	0.019620545	0	0.00869974	0.074462668	3.970834514
TCGA-CG-5722-01A-21R-1602-13	0.082590257	0	0.070901524	0.303391111	0	0.084195524	0.087508594	0.04846486	0.057613857	0	0	0.036271216	0.018898573	0.02377528	0.070421909	0.04942212	0.005225371	0	0.057882207	0	0	0.003437597	10.24666244
TCGA-CG-4306-01A-01R-1157-13	0.005354558	0	0.036318087	0.035515615	0	0.210319788	0.067649753	0.000908323	0.011937765	0	0.058072546	0	0.003906186	0.110780922	0.030635995	0.115605024	0.015007518	0.013935219	0	0.223793873	0	0.060258827	2.865213368
